time_s,video_payload_mbps,rf_capacity_mbps,buffer_mb,latency_ms,drop_flag
5.32,33.2223666744278,25,3.85807292512294,1252.1129168756,0
5.36,34.3010644861205,27.7544627549102,3.89255593377899,1136.32760287017,0
5.4,34.767850005619,25.1303441549878,3.94249346303215,1272.7808583687,0
5.44,35.4290186744287,28.3816129672269,3.97948049156816,1135.71216789295,0
5.48,32.182542253259,29.2706848313553,3.99578977867768,1105.30986440418,0
5.52,37.1661480315644,29.8953529244824,4.03389375421309,1092.25806563182,0
5.56,34.8906977751798,31.9721525347697,4.05023648041514,1024.65800858098,0
5.6,34.4295077957985,28.6987386242585,4.08064032627284,1151.55467912945,0
5.64,36.3045620656134,32.0605982365956,4.10361014541793,1035.26527372345,0
5.68,32.8918249395581,34.254482632564,4.0985468569529,967.080819694654,0
5.72,35.7020472201365,27.8245015055486,4.13968458552584,1205.38953827855,0
5.76,38.5262291657466,31.8982471167841,4.17457449577065,1058.58800466913,0
5.8,35.8662972500546,30.2112330514019,4.20459981676391,1126.43702543061,0
5.84,38.3490270909924,40.1524129473789,4.19733288748198,843.633855672238,0
5.88,38.9957284661533,26.0908243332359,4.26360740814657,1325.08807113578,0
5.92,38.7268886426803,37.6033797566785,4.27097495257658,917.173148954016,0
5.96,35.4809116255872,30.1337739024923,4.29946064119205,1154.84643558411,0
6,39.8964349104412,25.1081736586681,4.37515194745091,1413.72364788115,0
6.04,38.2194813375469,38.0600083931769,4.37769931217276,928.70821274383,0
6.08,39.700553997322,25.5794343100531,4.45005491060911,1411.06767783086,0
6.12,40.3546155617679,27.1208622707663,4.51797367706412,1350.1167445018,0
6.16,40.6076546253811,42.3408437590478,4.51105773139578,859.436453771907,0
6.2,37.5704960638006,38.8977835094216,4.50617129416768,935.186593660579,0
6.24,36.759510712164,35.8636853209186,4.51240042112391,1016.48711032892,0
6.28,40.4692793203591,36.8364333481274,4.53231465098506,993.753400392077,0
6.32,39.9578488211686,41.8654341622812,4.5245267242795,871.873666375433,0
6.36,41.3774637097613,28.0936909642554,4.59269558800703,1324.32143767005,0
6.4,39.7893531510097,30.7944692772109,4.63942000737603,1219.11667176904,0
6.44,39.8187958440802,31.8490932538827,4.68101852032701,1188.86432256269,0
6.48,40.3168892936843,33.9431029279331,4.71463745215577,1122.76319630729,0
6.52,39.3035648591729,36.7422407605448,4.72919407264891,1039.60492100858,0
6.56,40.7851227172994,42.3636069976755,4.72305165124703,899.337522057241,0
6.6,41.5725044225013,36.041369587359,4.75245732542274,1065.23394991397,0
6.64,38.3397877566678,35.074579204818,4.77053336818199,1099.05628288105,0
6.68,41.1457834668158,38.0379698285068,4.78782243637353,1016.30784744517,0
6.72,42.1198504084635,47.2109099829951,4.76411713850088,813.320465220105,0
6.76,40.8506645648312,36.8120287870855,4.78606031738961,1050.0919398286,0
6.8,38.2319049147676,35.4619586301721,4.80166004881258,1094.02271730554,0
6.84,42.9606531199945,41.9004521585385,4.80871105361986,925.854868731037,0
6.88,37.6364824533031,39.2494312220733,4.80239630977601,987.653784932652,0
6.92,39.6309536644271,43.0151179407546,4.78722548839437,897.637361751487,0
6.96,35.6200234129491,40.2586740904098,4.76578223500707,955.337623938212,0
7,40.0948347219218,28.1858253955103,4.82707728163913,1387.29919822466,0
7.04,40.6788394810498,27.5806055146694,4.89431845147103,1437.88751192753,0
7.08,37.3016901748815,43.5143176197616,4.86500531424663,901.67167373809,0
7.12,36.9853333731719,38.5548777702585,4.8589075922612,1017.44235309005,0
7.16,36.6722475420577,43.6681263030737,4.82567819845612,891.20718928486,0
7.2,36.0884009147273,40.9425739729072,4.80315733316522,946.608083807841,0
7.24,36.6049528892096,39.9099476438691,4.78838235939192,968.329362313302,0
7.28,36.4273618742559,50.4067068308028,4.72023563460918,754.382129142311,0
7.32,35.1835240051855,43.950883781623,4.678148835727,858.358534043983,0
7.36,32.4213545522179,38.9385164745834,4.64731302611517,963.460314246836,0
7.4,34.7189640390623,30.5476292521624,4.66991970004967,1237.16194037723,0
7.44,35.3745497696333,36.0280977836826,4.66840195997942,1046.78270423139,0
7.48,34.2478416973056,44.0309562466706,4.6212363872326,846.361762070597,0
7.52,30.5894015658281,43.0995357906521,4.56043571610848,853.424137925855,0
7.56,32.3075520081941,39.7590408298763,4.52492827200007,918.55638741041,0
7.6,30.1684623060156,37.5284581964045,4.48987829254812,966.124688405143,0
7.64,32.1849430572615,44.121197107815,4.43194702229535,810.020710446426,0
7.68,31.3526990774641,46.8811147491231,4.35605494393706,748.927674296761,0
7.72,31.1773913387634,47.0848820067122,4.27826749059731,732.346770873688,0
7.76,31.4993935783325,50.9809647680192,4.18260963464888,660.877730268463,0
7.8,30.1345395376919,41.1903217913724,4.12908072338048,808.824326992008,0
7.84,31.9154548944774,38.4998712386514,4.09790864165961,859.328434641284,0
7.88,34.3971365847996,47.7395888374136,4.03294638039654,680.815593354559,0
7.92,29.3450574044571,42.9617671952632,3.96661283144251,744.6981136954,0
7.96,32.5212772335702,44.1560828414193,3.91018880340326,714.09056455623,0
8,31.9269559112098,49.4611916896407,3.82426762451111,622.956599982937,0
8.04,29.4654576057386,51.5753074584364,3.71546837524762,580.255121476791,0
8.08,30.9343610507947,36.6944951082545,3.68841770496032,811.879255766053,0
8.12,33.0139595216885,44.5473360517697,3.63250082230991,657.505840271469,0
8.16,32.6757877505492,41.1098280965848,3.59208062057974,705.023703646231,0
8.2,30.8909544929444,40.8309176361711,3.5441308048636,700.405230280018,0
8.24,32.249313087684,40.927142806383,3.50249165627011,690.534900001711,0
